OBJECTID,Location,Latitude,Longitude,X,Y,City,Activated,Borough Name,Postcode,"Location (Lat, Long)"
10604,Park Perimeter,40.67486,-73.78412,1044131.897,185219.8921,Queens,9/9/9999,Queens,11434,"(40.6748599999, -73.7841200005)"
10555,Park Perimeter,40.74756,-73.81815,1034637.511,211685.2178,Queens,9/9/9999,Queens,11355,"(40.7475599996, -73.8181499997)"
12370,Grand St (L),40.711926,-73.94067,1000698.128,198655.9088,Brooklyn,9/9/9999,Brooklyn,11206,"(40.7119259997, -73.9406699994)"
9893,125 Court St.,40.689985,-73.991995,986469.9663,190656.6804,Brooklyn,9/9/9999,Brooklyn,11201,"(40.6899850001, -73.9919950004)"
10169,Lexington Av-63 St (F),40.76463,-73.966115,993636.5521,217853.8882,New York,9/9/9999,Manhattan,10065,"(40.7646300002, -73.9661150001)"
10880,Park Perimeter,40.74243,-73.81151,1036481.359,209820.0886,Queens,9/9/9999,Queens,11355,"(40.7424300003, -73.8115100003)"
10953,Pole 94 - LenWS1N133,40.812944,-73.941693,1000390.022,235459.8933,New York,9/9/9999,Manhattan,10037,"(40.812944, -73.9416929996)"
11018,380 WASHINGTON AVENUE,40.68737909,-73.96603067,993670.8279,189708.9979,Brooklyn,9/9/9999,Brooklyn,11238,"(40.6873790941, -73.966030666)"
12375,Halsey St (L),40.695602,-73.904084,1010847.417,192717.5789,Brooklyn,9/9/9999,Queens,11385,"(40.6956020001, -73.9040840004)"
12607,"Broadway Junction (A,C,J,L,Z)",40.678334,-73.905316,1010512.585,186425.9753,Brooklyn,9/9/9999,Brooklyn,11233,"(40.6783340002, -73.9053160001)"
11726,CROTONA PARK C/O EAST 173RD ST AND FULTON AVE,40.840664,-73.898372,1012370.032,245570.2432,Bronx,9/9/9999,Bronx,10457,"(40.8406639999, -73.8983720002)"
9823,Liggett B Food Court,40.69039,-74.01996,978714.6771,190804.7628,New York,9/9/9999,Manhattan,10004,"(40.6903899996, -74.0199599995)"
10915,pole 51n - 131NWC5th,40.81026,-73.93951,1000994.976,234482.4264,New York,9/9/9999,Manhattan,10037,"(40.81026, -73.9395100003)"
