Id,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zipcode
24044,Proposed,UTILITY,Staten_Island,927208,134487,40.5356277,-74.2052135,10309
23972,Proposed,UTILITY,Staten_Island,943835.88,138735.7,40.5473809,-74.1454188,10308
23971,Proposed,UTILITY,Bronx,1008489,261635,40.8847684,-73.9123402,10463
23970,Proposed,UTILITY,Bronx,1042544,250236,40.8533225,-73.7892807,10464
23968,Proposed,UTILITY,Bronx,1021910,255780,40.8686512,-73.8638365,10467
23967,Proposed,UTILITY,Queens,1021652.23,218573.17,40.7665301,-73.8649759,11369
23966,Proposed,UTILITY,Queens,1002288,218781,40.7671613,-73.9348812,11106
23965,Proposed,UTILITY,Queens,1052338,158267,40.600821,-73.7548083,11691
23964,Proposed,UTILITY,Queens,1052694,158694,40.6019903,-73.753522,11691
23963,Proposed,UTILITY,Brooklyn,1008622,178459,40.6564718,-73.9121609,11212
23962,Proposed,UTILITY,Brooklyn,1009591,177482,40.6537875,-73.9086722,11236
23961,Proposed,UTILITY,Queens,1017782,218670,40.7668114,-73.8789471,11369
23960,Proposed,UTILITY,Brooklyn,1002554.08,176083.92,40.6499674,-73.9340367,11203
23959,Proposed,UTILITY,Brooklyn,1016693,187343,40.6808305,-73.8830295,11208
23958,Proposed,UTILITY,Brooklyn,1007693,179097,40.6582255,-73.9155069,11212
23957,Proposed,UTILITY,Brooklyn,1009245,178079,40.6554271,-73.9099169,11212
23956,Proposed,UTILITY,Queens,1019103,209402,40.741368,-73.8742262,11373
23955,Proposed,UTILITY,Queens,1021153,208470,40.7388016,-73.8668335,11373
23954,Proposed,UTILITY,Queens,1012503,192368,40.6946374,-73.8981151,11385
23953,Proposed,UTILITY,Queens,1039802,184318,40.6724127,-73.7997371,11436
23952,Proposed,UTILITY,Queens,1050984,158143,40.600491,-73.7596854,11691
23951,Proposed,UTILITY,Queens,1053647,157688,40.5992217,-73.7501005,11691
23950,Proposed,UTILITY,Brooklyn,1001383,150047,40.5785038,-73.9383231,11235
23949,Proposed,UTILITY,Brooklyn,1013031,179838,40.6602437,-73.8962645,11207
23948,Proposed,UTILITY,Brooklyn,999964,172539,40.6402423,-73.943379,11203
23947,Proposed,UTILITY,Brooklyn,981708.31,162192.41,40.6118567,-74.0091544,11228
23946,Proposed,UTILITY,Brooklyn,995755.35,158093.87,40.6005999,-73.9585683,11229
23945,Proposed,UTILITY,Queens,1048494,159718,40.6048324,-73.7686371,11691
23944,Proposed,UTILITY,Bronx,1043128,248210,40.8477578,-73.7871874,10464
23943,Proposed,UTILITY,Queens,1054163,156660,40.596396,-73.748253,11691
23942,Proposed,UTILITY,Queens,1052940,157196,40.5978767,-73.7526514,11691
23941,Proposed,UTILITY,Brooklyn,1018708,190130,40.6884726,-73.8757503,11208
23940,Proposed,UTILITY,Brooklyn,1019320,188962,40.6852643,-73.8735496,11208
23939,Proposed,UTILITY,Brooklyn,1015519,186763,40.6792428,-73.8872649,11207
23938,Proposed,UTILITY,Brooklyn,1015075,186418,40.6782974,-73.8888673,11207
23937,Proposed,UTILITY,Brooklyn,1002970,180696,40.6626257,-73.932525,11203
23936,Proposed,UTILITY,Brooklyn,1014354,183465,40.6701946,-73.8914799,11207
23935,Proposed,UTILITY,Brooklyn,1003356,179727,40.6599652,-73.9311365,11203
23934,Proposed,UTILITY,Brooklyn,1005302,178524,40.6566588,-73.9241263,11212
23933,Proposed,UTILITY,Brooklyn,1003620,175641,40.6487494,-73.9301967,11203
23932,Proposed,UTILITY,Brooklyn,1008853,170270.68,40.633996,-73.9113582,11236
23931,Proposed,UTILITY,Brooklyn,985125,157105,40.5978931,-73.9968492,11214
23930,Proposed,UTILITY,Brooklyn,1001826,150881,40.5807921,-73.9367261,11235
23929,Proposed,UTILITY,Brooklyn,1001145,150035,40.5784713,-73.9391799,11235
23928,Proposed,UTILITY,Bronx,1043413,247599,40.8460789,-73.7861627,10464
23927,Proposed,UTILITY,Queens,1032612,216970,40.7620767,-73.8254221,11354
23926,Proposed,UTILITY,Queens,1048779,183990,40.6714516,-73.7673786,11434
23925,Approved,UTILITY,Queens,1042562,215860,40.75897,-73.7895142,11358
23924,Approved,UTILITY,Bronx,1023327,266607,40.8983617,-73.85865,10466
23923,Approved,UTILITY,Bronx,1029743,246880,40.8441865,-73.835576,10461
23922,Proposed,UTILITY,Bronx,1013510,249668,40.8519074,-73.8942342,10457
23921,Proposed,UTILITY,Bronx,1006166,236226,40.8150343,-73.9208244,10451
23920,Approved,UTILITY,Bronx,1017800,258355,40.8757353,-73.8786837,10467
23919,Approved,UTILITY,Bronx,1023477,263982,40.8911563,-73.8581228,10466
23918,Approved,UTILITY,Brooklyn,1001842.93,175966,40.6496452,-73.9365998,11203
23917,Approved,UTILITY,Staten_Island,961610.3,173771,40.6436089,-74.08158,10301
23916,Approved,UTILITY,Bronx,1023307,247234,40.8451889,-73.8588353,10462
23915,Approved,UTILITY,Staten_Island,949507,156141,40.5951791,-74.1251023,10314
23913,Proposed,UTILITY,Queens,1030617,186576,40.6786633,-73.832833,11417
23877,Approved,UTILITY,Staten_Island,929118,153186,40.5869648,-74.1984945,10314
23876,Approved,UTILITY,Staten_Island,958369,166645,40.6240407,-74.0932324,10301
23875,Approved,UTILITY,Staten_Island,940063,135740,40.5391403,-74.1589748,10312
23874,Installed,UTILITY,Queens,998038,213644,40.7530692,-73.9502346,11101
23873,Proposed,UTILITY,Bronx,1015956,237381,40.8181747,-73.8854507,10474
23856,Approved,UTILITY,Staten_Island,950017.51,158264.78,40.6010104,-74.1232748,10314
23855,Proposed,UTILITY,Bronx,1014062,247748,40.8466358,-73.8922474,10457
23854,Approved,UTILITY,Staten_Island,945688,172350,40.6396536,-74.1389463,10302
23853,Approved,UTILITY,Bronx,1016632,240054,40.8255089,-73.8829956,10472
23835,Proposed,UTILITY,Queens,1052295,178774,40.6571085,-73.7547564,11413
23834,Proposed,UTILITY,Queens,1040733,191833,40.6930338,-73.7963179,11433
23833,Approved,UTILITY,Bronx,1009826,240438,40.8265852,-73.9075859,10456
23813,Approved,UTILITY,Bronx,1010189,252574,40.8598939,-73.9062273,10468
23794,Approved,UTILITY,Staten_Island,941066.68,134527.04,40.5358159,-74.1553561,10312
23793,Approved,UTILITY,Queens,1050842,179074,40.657943,-73.7599903,11413
23775,Approved,UTILITY,Queens,1048329,208040,40.7374662,-73.7687719,11364
23774,Approved,UTILITY,Queens,1033270,217640,40.763912,-73.823042,11354
23773,Approved,UTILITY,Bronx,1009274,239586,40.8242483,-73.9095836,10451
23756,Approved,UTILITY,Staten_Island,944355,140636,40.5525992,-74.1435621,10308
23755,Approved,UTILITY,Staten_Island,959337,169802,40.6327088,-74.089757,10301
23754,Approved,UTILITY,Staten_Island,956127.76,154148.79,40.5897343,-74.1012541,10304
